type,date,price
ABS,22/01/67,56.00
AS,22/01/67,52.00
BDS (K-RESIN),22/01/67,108.00
EVA,22/01/67,80.00
GPPS,22/01/67,51.00
HIPS,22/01/67,55.00
HDPE MONO,22/01/67,47.00
HDPE BLOW,22/01/67,47.00
HDPE INJ,22/01/67,47.00
HDPE FILM,22/01/67,47.00
LDPE BLOW,22/01/67,
LDPE INJ,22/01/67,66.00
LDPE FILM,22/01/67,46.25
LLDPE BLOW,22/01/67,
LLDPE INJ,22/01/67,
LLDPE FILM,22/01/67,45.50
PA6,22/01/67,160.00
PA66,22/01/67,215.00
PBT,22/01/67,236.00
PC,22/01/67,165.00
PC INJ,22/01/67,165.00
PC BLOW,22/01/67,165.00
PET,22/01/67,40.00
PMMA,22/01/67,113.00
POM COPO,22/01/67,96.00
PP INJ,22/01/67,47.00
PP YARN,22/01/67,47.00
PP FILM,22/01/67,47.25
PP COPO,22/01/67,50.50
PU,22/01/67,220.00
PVC INJ,22/01/67,79.00
ABS,15/01/67,55.00
AS,15/01/67,51.00
BDS (K-RESIN),15/01/67,108.00
EVA,15/01/67,80.00
GPPS,15/01/67,50.00
HIPS,15/01/67,54.00
HDPE MONO,15/01/67,46.25
HDPE BLOW,15/01/67,46.25
HDPE INJ,15/01/67,46.25
HDPE FILM,15/01/67,46.25
LDPE BLOW,15/01/67,
LDPE INJ,15/01/67,66.00
LDPE FILM,15/01/67,45.75
LLDPE BLOW,15/01/67,
LLDPE INJ,15/01/67,
LLDPE FILM,15/01/67,45.25
PA6,15/01/67,160.00
PA66,15/01/67,215.00
PBT,15/01/67,236.00
PC,15/01/67,165.00
PC INJ,15/01/67,165.00
PC BLOW,15/01/67,165.00
PET,15/01/67,39.75
PMMA,15/01/67,113.00
POM COPO,15/01/67,96.00
PP INJ,15/01/67,46.00
PP YARN,15/01/67,46.00
PP FILM,15/01/67,46.00
PP COPO,15/01/67,49.50
PU,15/01/67,220.00
PVC INJ,15/01/67,79.00
ABS,08/01/67,54.00
AS,08/01/67,50.00
BDS (K-RESIN),08/01/67,108.00
EVA,08/01/67,80.00
GPPS,08/01/67,49.00
HIPS,08/01/67,53.00
HDPE MONO,08/01/67,45.50
HDPE BLOW,08/01/67,45.50
HDPE INJ,08/01/67,45.50
HDPE FILM,08/01/67,45.50
LDPE BLOW,08/01/67,
LDPE INJ,08/01/67,66.00
LDPE FILM,08/01/67,45.75
LLDPE BLOW,08/01/67,
LLDPE INJ,08/01/67,
LLDPE FILM,08/01/67,45.00
PA6,08/01/67,160.00
PA66,08/01/67,215.00
PBT,08/01/67,236.00
PC,08/01/67,165.00
PC INJ,08/01/67,165.00
PC BLOW,08/01/67,165.00
PET,08/01/67,39.75
PMMA,08/01/67,113.00
POM COPO,08/01/67,96.00
PP INJ,08/01/67,44.75
PP YARN,08/01/67,44.75
PP FILM,08/01/67,45.00
PP COPO,08/01/67,48.00
PU,08/01/67,220.00
PVC INJ,08/01/67,79.00
ABS,01/01/67,54.00
AS,01/01/67,50.00
BDS (K-RESIN),01/01/67,108.00
EVA,01/01/67,80.00
GPPS,01/01/67,49.00
HIPS,01/01/67,53.00
HDPE MONO,01/01/67,45.75
HDPE BLOW,01/01/67,45.75
HDPE INJ,01/01/67,45.75
HDPE FILM,01/01/67,45.75
LDPE BLOW,01/01/67,
LDPE INJ,01/01/67,66.00
LDPE FILM,01/01/67,45.50
LLDPE BLOW,01/01/67,
LLDPE INJ,01/01/67,
LLDPE FILM,01/01/67,44.75
PA6,01/01/67,160.00
PA66,01/01/67,215.00
PBT,01/01/67,236.00
PC,01/01/67,165.00
PC INJ,01/01/67,165.00
PC BLOW,01/01/67,165.00
PET,01/01/67,39.50
PMMA,01/01/67,113.00
POM COPO,01/01/67,96.00
PP INJ,01/01/67,44.25
PP YARN,01/01/67,44.25
PP FILM,01/01/67,44.25
PP COPO,01/01/67,47.50
PU,01/01/67,220.00
PVC INJ,01/01/67,79.00
